index,mean,standard_deviation
gender,0.5158730158730159,0.5007425081895881
PPE,6.477319933862434,38.23678896535953
DFA,10.788199656084656,51.65267435015522
RPDE,4.140164748677249,27.028568372848664
locPctJitter,0.03800299795634921,0.3857739431004893
apq3Shimmer,0.24051799198148144,1.4052398424715087
apq11Shimmer,0.40025921886904764,2.8272515168823698
meanNoiseToHarmHarmonicity,0.11852424074074074,1.074482786692365
meanHarmToNoiseHarmonicity,18.859632275132274,5.21263843035652
status,0.746031746031746,0.4361458861985692
